Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
DGLY,Digital Ally Inc,5.43,$29.21M,na,Technology,Radio And Television Broadcasting And Communications Equipment,http//www.nasdaq.com/symbol/dgly,
APPS,Digital Turbine Inc,0.98,$65.3M,na,Miscellaneous,Multi-Sector Companies,http//www.nasdaq.com/symbol/apps,
DCOM,Dime Community Bancshares Inc,16.88,$637.84M,na,Finance,Savings Institutions,http//www.nasdaq.com/symbol/dcom,
DMTX,Dimension Therapeutics Inc,6.44,$161.19M,2015,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/dmtx,
DIOD,Diodes Incorporated,19.22,$938.18M,na,Technology,Semiconductors,http//www.nasdaq.com/symbol/diod,
DPRX,Dipexium Pharmaceuticals Inc,12.44,$129.35M,2014,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/dprx,
DISCA,Discovery Communications Inc,26.35,$10.43B,na,Consumer Services,Television Services,http//www.nasdaq.com/symbol/disca,
DISCB,Discovery Communications Inc,26.6,$10.53B,na,Consumer Services,Television Services,http//www.nasdaq.com/symbol/discb,
DISCK,Discovery Communications Inc,25.24,$9.99B,na,Consumer Services,Television Services,http//www.nasdaq.com/symbol/disck,
DISH,DISH Network Corporation,52.16,$24.25B,1995,Consumer Services,Television Services,http//www.nasdaq.com/symbol/dish,
DVCR,Diversicare Healthcare Services Inc.,7.75,$49.3M,na,Health Care,Hospital/Nursing Management,http//www.nasdaq.com/symbol/dvcr,
SAUC,Diversified Restaurant Holdings Inc,1.22,$32.52M,na,Consumer Services,Restaurants,http//www.nasdaq.com/symbol/sauc,
DLHC,DLH Holdings Corp.,5.03,$52.34M,na,Technology,Professional Services,http//www.nasdaq.com/symbol/dlhc,
DNBF,DNB Financial Corp,26,$74.19M,na,Finance,Major Banks,http//www.nasdaq.com/symbol/dnbf,
DLTR,Dollar Tree Inc,95.51,$22.51B,1995,Consumer Services,Department/Specialty Retail Stores,http//www.nasdaq.com/symbol/dltr,
DGICA,Donegal Group Inc,16.09,$427.94M,na,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/dgica,
DGICB,Donegal Group Inc,14.88,$395.76M,1986,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/dgicb,
DMLP,Dorchester Minerals LP,15.5,$475.47M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/dmlp,
DORM,Dorman Products Inc,62.49,$2.16B,na,Capital Goods,Auto PartsO.E.M.,http//www.nasdaq.com/symbol/dorm,
EAGL,Double Eagle Acquisition Corp.,9.77,$610.63M,2015,Finance,Business Services,http//www.nasdaq.com/symbol/eagl,
EAGLU,Double Eagle Acquisition Corp.,10.04,na,2015,Finance,Business Services,http//www.nasdaq.com/symbol/eaglu,
