Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
APHB,AmpliPhi Biosciences Corporation,1.87,$15.41M,na,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/aphb,
AXN,Aoxing Pharmaceutical Company Inc,0.68,$51.82M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/axn,
HRT,Arrhythmia Research Technology Inc.,4.0301,$11.35M,na,Health Care,Biotechnology Electromedical & Electrotherapeutic Apparatus,http//www.nasdaq.com/symbol/hrt,
AKG,Asanko Gold Inc.,4.59,$904.38M,na,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http//www.nasdaq.com/symbol/akg,
AINC,Ashford Inc.,47.3299,$95.4M,2014,Consumer Services,Professional Services,http//www.nasdaq.com/symbol/ainc,
AST,Asterias Biotherapeutics Inc,2.98,$132.77M,na,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/ast,
AWX,Avalon Holdings Corporation,2.928,$11.14M,na,Public Utilities,Environmental Services,http//www.nasdaq.com/symbol/awx,
ASM,Avino Silver,2.59,$115.24M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/asm,
BTG,B2Gold Corp,3.3,$3.07B,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/btg,
BTN,Ballantyne Strong Inc,5.61,$79.87M,na,Miscellaneous,Industrial Machinery/Components,http//www.nasdaq.com/symbol/btn,
BKJ,Bancorp of New Jersey Inc,11.235,$70.78M,na,Finance,Major Banks,http//www.nasdaq.com/symbol/bkj,
BCV,Bancroft Fund Limited,20.8,$106.73M,na,na,na,http//www.nasdaq.com/symbol/bcv,
BAA,BANRO CORPORATION,0.3707,$112.07M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/baa,
BHB,Bar Harbor Bankshares Inc,35.07,$211.57M,na,Finance,Major Banks,http//www.nasdaq.com/symbol/bhb,
BRN,Barnwell Industries Inc,1.5,$12.42M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/brn,
BGSF,BG Staffing Inc,17.46,$151.35M,na,Technology,Professional Services,http//www.nasdaq.com/symbol/bgsf,
BPMX,BioPharmX Corporation,0.72,$20.78M,2015,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/bpmx,
